Feature,Type
Close,numeric
High,numeric
Low,numeric
Open,numeric
Volume,numeric
RSI_14,numeric
RSI_7,numeric
RSI_21,numeric
STOCH_K,numeric
STOCH_D,numeric
WILLIAMS_R,numeric
ROC_10,numeric
ROC_20,numeric
CCI,numeric
SMA_5,numeric
SMA_10,numeric
SMA_20,numeric
SMA_50,numeric
SMA_100,numeric
SMA_200,numeric
EMA_12,numeric
EMA_26,numeric
EMA_50,numeric
MACD,numeric
MACD_SIGNAL,numeric
MACD_HISTOGRAM,numeric
ADX,numeric
ADX_POS,numeric
ADX_NEG,numeric
BB_HIGH,numeric
BB_LOW,numeric
BB_MID,numeric
BB_WIDTH,numeric
BB_PERCENT,numeric
ATR,numeric
RETURN_1D,numeric
RETURN_3D,numeric
RETURN_7D,numeric
RETURN_14D,numeric
RETURN_30D,numeric
LOG_RETURN_1D,numeric
LOG_RETURN_7D,numeric
VOLATILITY_7D,numeric
VOLATILITY_14D,numeric
VOLATILITY_30D,numeric
PRICE_POSITION_14D,numeric
DIST_SMA_20,numeric
DIST_SMA_50,numeric
DIST_SMA_200,numeric
SMA_CROSS_20_50,numeric
SMA_CROSS_50_200,numeric
EMA_CROSS_12_26,numeric
VOLUME_SMA_20,numeric
VOLUME_RATIO,numeric
BODY_SIZE,numeric
UPPER_WICK,numeric
LOWER_WICK,numeric
BULLISH_CANDLE,numeric
YEAR,numeric
MONTH,numeric
DAY,numeric
DAY_OF_WEEK,numeric
QUARTER,numeric
IS_WEEKEND,numeric
IS_MONDAY,numeric
IS_FRIDAY,numeric
MONTH_SIN,numeric
MONTH_COS,numeric
DAY_OF_WEEK_SIN,numeric
DAY_OF_WEEK_COS,numeric
BULL_MARKET_20,numeric
BULL_MARKET_50,numeric
BULL_MARKET_200,numeric
STRONG_UPTREND,numeric
STRONG_DOWNTREND,numeric
HIGH_VOLATILITY,numeric
LOW_VOLATILITY,numeric
MOMENTUM_REGIME,numeric
compound_mean,numeric
compound_std,numeric
positive_mean,numeric
negative_mean,numeric
neutral_mean,numeric
total_tweets,numeric
engagement_score_sum,numeric
sentiment_positive_ratio,numeric
sentiment_negative_ratio,numeric
sentiment_neutral_ratio,numeric
sentiment_volatility,numeric
weighted_sentiment,numeric
sentiment_ma_7,numeric
sentiment_ma_14,numeric
sentiment_momentum,numeric
compound_mean_lag_1d,numeric
sentiment_positive_ratio_lag_1d,numeric
sentiment_negative_ratio_lag_1d,numeric
sentiment_volatility_lag_1d,numeric
weighted_sentiment_lag_1d,numeric
compound_mean_lag_3d,numeric
sentiment_positive_ratio_lag_3d,numeric
sentiment_negative_ratio_lag_3d,numeric
sentiment_volatility_lag_3d,numeric
weighted_sentiment_lag_3d,numeric
compound_mean_lag_7d,numeric
sentiment_positive_ratio_lag_7d,numeric
sentiment_negative_ratio_lag_7d,numeric
sentiment_volatility_lag_7d,numeric
weighted_sentiment_lag_7d,numeric
sentiment_ma_3d,numeric
sentiment_std_3d,numeric
sentiment_ma_7d,numeric
sentiment_std_7d,numeric
sentiment_ma_14d,numeric
sentiment_std_14d,numeric
sentiment_momentum_3d,numeric
sentiment_momentum_7d,numeric
sentiment_volatility_interaction,numeric
sentiment_rsi_interaction,numeric
sentiment_return_interaction,numeric
volume_weighted_sentiment,numeric
